Kaizen_title,background,baseline,issue
PO - Kaizen New line Toy GTW33,New line,"Scdl = 1000
Hrs     = 113.264
Jk      = 6
0prt   = 19","CT tinggi di proses microtach medali  - Proses creasing insert + microtach medali + attach r/b 2 menggunakan 2 operator CT 44s,CT tidak balance di proses elastic telescope dan holder 2pcs. - - proses elastic telescope pin 19 3x dan pin 58 2x CT 23s.
- proses attach 2 pcs holder CT 16s.,CT tidak balance di proses attach head Phone dan tag head - - proses slot acc + attach head Phone CT 23s.
- proses tag head + attach acc CT 15s.,CT Tinggi di proses attach bed to insert menggunakan 4 operator masing2 CT 86s. - Proses attach bed to insert + attach chair to insert CT 86s"
PO - Kaizen New line Toy HGM74,New line,"Scdl = 1500
Hrs   = 81.877
Jk    = 6
Opr = 20","CT tidak balance di proses attach shoes dan tag head. - - Proses attach shoes CT 10s.
- Proses date code insert + attach r/b + tag head to back suport + slot back suport CT 20s.,CT tinggi di proses regroom  - Proses regroom + pull back + assy acc sunglases to blister + slot blister to insert menggunakan 2 operator CT 36s,CT tidak balance di proses microtach syal dan slot holder arm to insert. - - proses microtach soal + attach arm holder 1 CT 10s.
- proses attach hoder arm 1 + slot holder arm to insert 2x CT 17s.,CT tidak balance di proses date code insert dan attach selancar  - - Proses date code + attach r/b CT 9s.
- proses attach holder to insert + attach selancar to insert CT 18s."
PO Kaizen New line Toy HGM74,New line,"Scdl = 1500
Hrs   = 81.877
Jk    = 6
Opr = 20","CT tidak balance di proses attach shoes dan tag head. - - Proses attach shoes CT 10s.
- Proses date code insert + attach r/b + tag head to back suport + slot back suport CT 20s.,CT tinggi di proses regroom  - Proses regroom + pull back + assy acc sunglases to blister + slot blister to insert menggunakan 2 operator CT 36s,CT tidak balance di proses microtach syal dan slot holder arm to insert. - - proses microtach soal + attach arm holder 1 CT 10s.
- proses attach hoder arm 1 + slot holder arm to insert 2x CT 17s.,CT tidak balance di proses date code insert dan attach selancar  - - Proses date code + attach r/b CT 9s.
- proses attach holder to insert + attach selancar to insert CT 18s."
PO - Kaizen New line Toy HGM53,New line,"Scdl = 1000
Jk    = 6
Hrs = 115.511
Oprt = 19","CT tidak balance di proses attach r/b 5pcs dan attach acc. - - Proses attach r/b 5pcs CT 24s.
- proses attach acc CT 18s.,CT tidak balance di proses elastic stapker dan tag necklace. - - proses join head + elastic stapler waist + elastic stapler leg dan arm CT 24s.
- proses tag necklace CT 17s.,CT tidak balance di proses acc hand bag dan microtach twil skirt. - - proses microtach twil skirt CT 18s.
- proses acc hand bag + lock insert kanan dan kiri CT 24s,CT tidak balance di proses doll to IC dan date code IC. - - proses date code IC + creasing CT 28s.
- proses doll to IC CT 24s."
PO - Kaizen New line Toy GXV86,New line ,"Scdl  = 1300
Hrs   = 84.652
Jk     = 6
Opr   = 18","CT tidak balance di proses attach r/b dan attach tab in - - proses attach r/b 3pcs CT 17s.
- proses attach tab in CT 14s.,CT Tidak balance di proses attach skirt dan tie telescope. - -proses date code torso + attach skirt + attach top + attach r/b CT 17s.
- proses tie telescope CT 14s,Ditemukan impor costume 5/400 = 12500ppm - Lengan baju terlipat karena proses regroom hair"
PO - Kaizen New line Toy HGM54,New line,"Scdl = 1300
JK    = 6
Hrs  = 85.014
Oprt = 18","CT tidak balance di proses elastic stapler dan tie table  - - proses elastic stapler 4x CT =14s.
- proses attach strap 2x + tie table 2x CT 19s.,CT tidak balance di proses attach acc dan attach r/b. - - proses attach acc + assy acc menggunakan 2 operator CT 30s.
-proses attach r/b + lock blister CT 18s.
,CT tidak balance di proses date code torso dan attach sandal. - - proses date code torso + attach shirt + attack skirt CT =16s.
- proses tie sandal + join head CT 13s."
FA - RAMP UP TOY HRF27 ,Beberapa proses tidak balance ,Ramp up,"CT tidak balance di proses groming style dan cutting hair.-3 oprt groming style CT= 224 s
3oprt cutting cutting hair CT=181 s,CT tidak balance di proses holder leg to insert dan slot body blister to insert.- 2 oprt tekuk lipat blister inner body 5 point lalu slot body blister  to insert CT =32 s
 2 oprt attack stick + tekuk insert stick + slot stick +attack holder leg to insert kn- ke  CT = 39 s,CT tidak balance di proses holder body to blister dengan holder arm .-3 oprt attack holder hole 3 ke blister body lalu di isolatif + attack shoes 2 pcs to torso CT= 62 s
2 oprt slot holder arm kn - kr CT = 32 s"
FA - Kaizen 555 Ramp Up Toy HLX67 ,Ramp up,Beberapa proses tidak balance ,"CT tidak balance di proses groming  style dengan handsewn bow to head .-3 oprt groming style CT= 99 s
1 oprt handsewn bow  to head CT= 42 s,CT tidak balance di proses hair setting Bun dan bang dengan cleaning face.-3 oprt hair setting Bun dan bang CT =102s
1 oprt buka harnet + topeng lalu trimming hair bang dan cleaning face CT=45 s,CT tidak balance di proses doll base dan stick to insert dan slot body blister to insert.-- attack holder hole 4 to insert lalu to doll base Assy to insert +tekuk insert attack stick to insert CT = 43 s
- tekuk inner body blister 5 ponit lalu slot body blister ke insert CT=31 s"
ESP - Reduce Hold ESP,Tingginya hold ESP akibat issue quality,Angka Hold ESP mencapai 146.000,"Ditemukannya peningkatan issue uneven sehingga part hold meningkat,Area Hold ESP yang tidak teratur sehingga sulit membedakan part yang masih bisa ditreatment dan yang tidak,Schedule double pass sudah tidak lagi rutin dibuat, sehingga part issue color banyak menumpuk,Peningkatan Issue dari Area DC sehingga part hold di ESP meningkat,Adanya tambahan part hold dari part balikan area depan seperti Tampo dan OMC,Adanya Part Hold dari tahap PP yang masih berada di area hold padahal part tersebut sudah PS"
BB - Eliminate Issue Wrong Wire Lenght on Barbell,Ditemukannya issue lenght di OMC,Akibat issue lenght ada 14.000 pcs part yang harus discrap,"Pengecekan hanya dilakukann oleh QC production 
,QC tidak mengetahui spec axle length
,Typo pada saat entry
,QC Patrol hanya melakuakan check visual
"
PO - kaizen New line di toy GTN63,New line,"Scdl = 1500
Jk = 8
Hrs = 57.921
Oprt = 9","CT tidak balance di proses join head, attach doll to inner dan date code IC - - proses join head + regroom + tack hat CT 14s.
- proses attach doll to inner + tie Pizza CT 12s.
- proses date code IC + press j hook CT 12s.,CT tidak balance di proses attach acc oven to inner dan microtach towl. - - proses attach acc oven to inner + attach Pizza besar + attach Pizza kecil + attach cup yellow CT 21s.
- proses microtack towl + attach spatula CT 14s.,CT tidak balance di proses doll to MC dan press blister. - - proses press blister CT 20s.
- proses stamp MC + doll to MC CT 14s."
TA - PP Kaizen Toy HBY01 Torso muse,PP kaizen untuk memastikan PS berjalan lancar,Gap leg dan flash di lubang cincin ... PPM,"Gap leg karena flash di bagian pin,Reject flash di bagian lubang cincin karena regular mata bor tumpul dan setelah proses bor tidak dibersihkan"
Improved Input System Part List 7777 ,Longer Time to Input Part List 7777 with Current System,Input Formulation taking about 30minutes per formula,"Missing information in paint mixing when chemlab release and update formula use this 7777 push system,Typo part number in previous 777 due to fail copy paste,Paint Mixing not aware about this system,No information to all parties about this 7777 push system"
PO - KAIZEN  Rump up schedule  toy  CFF37,Rump up schedule  dari  1500 ke 1700,CT tidak balance diproses date  torso  dan Acc,"Ct tidak balance diproses  date code torso,attach  ring, attach dress sakit,attach  neklace, attach  flower r/b 1/2 - Proses  attach  flower 1/2 r/b ,attach  ring ct  12,proses  date code torso, attach  dress  sakit, attach  neklace   ct 18,Ct tidak balance diproses  take head blister 2x to Ic,tie down hair to ic dan pullback to insert  +date code ic+ j hook attach  1r/b - Proses  take head blister 2x to ic ct 13, proses tie down hair to 1c dan pull back ct 19,Ct tidak balance diproses  apply  glue to insert, press blister  dan proses date mc ,pack to mc seal mc - Proses  Apple glue to insert ,press blister  ct 20,proses  date  mc ,pack doll to mc seal mc ct 14"
Internal Audit System Improvement,NULL,NULL,NULL
Integrated Internal Audit System Improvement,Internal audit was not fully risk based thinking approach.,2020 internal audit was not fully conducted based on Risk Based Thinking approach.,"There is no general checklist in the last Internal Audit.,There is no specific checklist based on area and refer to risk based thinking approach."
PA - Improvement quality dirty HJY18 Back Pack,Issue dirty glue di Finl assy,2/800 ,"Ditemukan Lbo di po  23.800 PPm dan part yang ada di p5 di sortir ketemu  2/800=2500 PPM,Handle pin sort2 800/800"
Improve The Foods Hygiene at Kitchen ,"terdapat material asing dan serangga yang tercampur dalam makanan yang disimpan didalam kitchen,segregasi barang didapur tidak proper",-,"Karyawan menemukan serangga dalam tray makanannya 
,Belum ada insect killer
,Terdapat serangga di dalam kitchen dikarenakan banyak tempat yang berpotensi menjadi jalan masuk hama ke area kitchen
,Terdapat benda asing seperti pecahan kaca dan paku 
,Belum ada min max untuk pembelian barang stock makanan 
"
PD - PP Preparation Primary process ,NULL,NULL,NULL
PP Preparation ,LOW PP adherence = 20% YTD 2023,PP Adherence YTD 20%,"Late approval 
,Late CT submission is Top contributor for delaying PP sch ( Target CT result 1 week before PP still can’t be achieved )
,Tools need revision between stage FEP to PP
"
Kerja Bersama Area Standardization,There is no standard design for KB area,no standard design and requirement,"There is no standard design for KB table ,There is no standard requirement for KB ,KB board is not standard ,Die cut KB area is messy "
SP - Improve in put data tooling new toy di area Spray painting,Kesulitan saat in put data karena jarak komputer dan ruang tool keep berjauhan,"Jarak antara tool keep dan komputer input kurang lebih 10 meter,Lebih dari 3 new toy untuk diiunput dalam 1 hari","Saat input data untuk tooling new toy operator menulis terlebih dahulu dilog book manual kemudian di input melalui PC yang berada di dekat staging roto head
Root Cause:
Jarak antara ruang tool keep dan PC kurang lebih 10 meter,Operator kesulitan in put data tooling ney toy yang datang bersamaan hingga lebih dari 3 toy
Root Cause:
Operator membawa semua tooling ke area PC untuk diinput"
PO - New line  Toy HHR66,New line,"Std hours 49,698
Opt 15
J.k 8
Eff 102
","Proses tidak balance di proses datecode torso+ pasang pants dan top-1.proses datecode 5 tt 11
2.proses pasang pants 14 tt 11
3.proses pasang top 10 tt 11,Proses tidak balance di proses slot acc dan peta dengan 2opt-1.proses slot acc ct 14
2.proses slot peta ct.8,penumpukan di proses pasang box dan tag head dengan 2operator-1.proses pasang box ke insert ct 14
2.proses tag head to insert ct 8,Potensi tangan operator tertusuk jarum pinwaist-operator pinwaist saat melakukan proses tangan terlalu dekat dengan jarum,Di temukan improper dressing-operator saat melakukan proses pasang yop, velcro belum sejajar sdh di satukan"
PO - New  line HGM53,Balancing proses,CT tinggi Dibeberapa proses,"CT tidak balance diproses R/B to insert dan Tack head -1.- Release insert from stocking
   - Attach R/B 1"" : 1 pc 1/2"" = 3 pc
      CT 16
2. - Take insert from compayer
     - Take head x2 to inser
     - Release to compayer CT 13,Ct tdk balance diproses assy acc dan attach acc to ic-1. - Take inner Blister 
       Take purse
        Take sunglasses
       Take vision CT 11
2. - Take insert from compayer
       Told dan lock inner blister to 
       insert  Ct 20"",Ct tdk balance Rapihin rambut dan join head -1.- take insert from stocking 
     -Tie down hair (include pulk back 
     R/B) upper
     - tie down hair (include pull back 
      R/B ) lower 
      Release insert to compayer ct 17""
2. - take insert from convayer 
     - join head 
     -pull back R/B lower ct 13 "",
-"
TA - PP Kaizen Toy HKT83 Torso,saat PS date lancar,100\200 solvent smear,"issue white mark dan gap karena upper torso mampet,nest date code rompal,posisi date code ketutu head,issue solvent smear toso"
PO - Kaizen Ramp up schedule  toyHJT31,Rump schedule  dari 2700 ke 3000,"Ct tidak balance diproses  tag cosstum ,pasang acc ,pasang rb","Proses tidak balance  date ic,pasang r/b2x dengan proses tag microteck  pant 1 -Date code  ic,pasang rb 2x ct 11 dtk
Tag microteck  pant 1 pc ct  7 dtk,Proses  tidak balance  diproses  top 4x dengan proses  microteck  dress 1x dan selot pant-Proses  microteck  top 4x ct 10 dtk
Proses microteck  dress 1x dan selot pant ct 7 detik,Proses tidak balance  diproses pasang acc stetoscop,selot rubberband  atas bawah dengan proses assy vynil-Pasang  acc stetoscop to insert, selot rubberband atas bawah ct 11 detik,assy vyni 7 detikl
"
Simplification of invoice and PRF process,Multiple files and processes,"Many billing forms have caused them to be tucked away and not paid
PRF made a lot
Price input is too detailed
many payment processes
","Terlalu banyak form tagihan
-Item yang sama dibuat dalam tagihan berbeda,Input PRF lebih banyak-Jumlah tagihan invoice yang dibuat per item,Proses Input Harga dari banyak PRF -Jumlah tagihan invoice yang dibuat per item,Proses pembayaran tagihan tidak simple -PRF nya banyak"
RC - Improve Quality Toy DWK45 (11011-47442) latan,Mold pada gerepes/rotohead,Rotohead pada saat di triming over triming,"pada saat di triming over-mold pada naik/grepess,mold pada naik-,-mold akan di audit berapa lama bertahan"
PO - PP Kaizen Toy HJN30,"PP Kaizen untuk memastikan PS dapat berjalan lancar
","CT tidak balance di beberapa proses, over processing
","Kesulitan pada proses dressing-Saat pasang costume bagian legan,,doll di tekuk dan costume di jepit  jig. CT 144s
,Operator sering lupa saat proses handsew back costume, handsew  molded wing dan wing dress.

-Combine proses  handsew back costume dan handsew wing di lakukan combine sampai finish oleh 6 opt.CT 546s
,Problem handsew wing masih kendor dan unbalance wing.

-Saat handsew , top cover dan dress di satukan dan di handsew secara bersamaan.
Dengan methode : Saat handsew, top cover di satukan ke  dress  dengan jarak 1 inch dari pita dan di lakukan bersamaan  2 tusukan kanan dan kiri lalu  kunci 2 kali lalu handsew dress ke wing 2 tusukan lalu kunci 2 kali nut wing atas dimulai dari kiri atas ke kanan atas lalu kanan bawah ke kiri bawah  dengan masing masing kunci 2 kali. ( 4 titik area handsew wing ) CT 409s.
Posisi doll di chuuter wing menyamping.
,Kesulitan di proses locking bottom insert.

-Flap insert mentok di support insert dan corner, CT 229s
,CT tidak balance di proses fold insert, tape insert, assy corner dan Proses lock PET dan lock body blister, tie down body with ribbon-Dengan proses sbb : 
Opt 1 = fold insert, tape insert, assy corner dan Proses lock PET. CT 52s
Opt 2 = Attach & lock PET support to back insert, attach & lock body blister to insert, tie down body to insert with ribbon, CT 296s,CT tidak balance di proses attach lock PET arm & Leg RL, Proses attach certif dan doll base to insert, TTI, Proses  Open Box IC, date code IC, PET Cover, Doll to IC, Wrap tissue.-Dengan proses sbb :
Opt 1 = attach and lock PET arm RL to insert , attach PET leg RL to insert. CT 52s
OPt 2 = put doll base, clip to polybag and tape to insert 5 point, Put certificate  to polybag and tape to insert, creasing back support & attach to insert, TTI . CT 195s
Opt 3 = Put Box IC and  opener w/ jig, date code Lid IC, Put innsert doll to box IC, creasing & attach PET cover, close Lid IC, wrap tissue paper. CT 197s,Excess motion di proses doll to MC with corner-Dengan proses sbb : Assy Corner, Doll di letakkan di bottom corner lalu di masukkan ke MC baru di pasang top corner, seal MC. CT 132s"
